CAD Event Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,District/Sector,Census Tract,Longitude,Latitude,Officers at Scene
16000104983,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-26 17:17:00,R,10100.2019,-122.284904,47.561256,2
16000104976,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 17:15:00,G,8800.3002,-122.29493,47.604195,2
16000104995,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 17:19:00,O,9300.306,-122.33524,47.57158,0
16000104994,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:26:00,Q,5600.403,-122.40237,47.640358,2
16000104993,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:19:00,G,8800.3008,-122.30109,47.60432,1
16000104992,176,LIQUOR VIOLATION - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 17:17:00,S,11800.602,-122.26803,47.51985,2
16000104986,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 17:18:00,R,10001.1002,-122.29916,47.579674,3
16000104962,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-26 17:17:00,S,11900.2016,-122.25063,47.506386,1
16000104918,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 17:18:00,O,9300.3019,-122.329056,47.579807,3
16000104794,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,2016-03-26 17:14:00,C,6500.3017,-122.31459,47.627274,1
16000105010,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 17:36:00,K,9200.2028,-122.33081,47.600464,3
16000105007,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:31:00,R,10300.2004,-122.27538,47.55191,2
16000105002,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 17:29:00,E,7500.4006,-122.31683,47.614105,0
16000104957,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:28:00,O,9300.3167,-122.32896,47.555634,3
16000104941,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 17:30:00,J,2900.1,-122.3553,47.689835,3
16000104933,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:29:00,S,11102.2008,-122.26991,47.542492,3
16000104823,52,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,2016-03-26 17:32:00,R,10100.3009,-122.29204,47.56078,2
16000104752,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 17:30:00,R,10200.4025,-122.27476,47.55191,4
16000105020,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 17:39:00,O,9300.3014,-122.32999,47.579807,0
16000105018,363,MISSING PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",2016-03-26 17:37:00,W,10600.6004,-122.391174,47.54945,2
16000105001,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 17:40:00,M,8200.101,-122.332245,47.612072,3
16000104999,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 17:39:00,H,9900.2019,-122.36287,47.561085,1
16000104988,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:30:00,J,2900.2003,-122.3553,47.684746,1
16000104984,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:40:00,O,9300.1047,-122.321396,47.586205,2
16000104855,186,"NARCOTICS, DRUG TRAFFIC LOITERING",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,2016-03-26 17:31:00,B,3300.3013,-122.37888,47.67382,3
16000104782,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 17:38:00,D,7200.2001,-122.34137,47.618546,0
16000104525,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",2016-03-26 17:30:00,B,5100.2026,-122.32904,47.65612,2
16000104508,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 17:33:00,Q,7000.6008,-122.35796,47.62822,3
16000104981,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 17:43:00,E,7500.5004,-122.32088,47.619904,0
16000104978,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 17:43:00,G,9100.1002,-122.31843,47.599186,2
16000104969,74,LICENSE PLATE THEFT OR LOSS,CAR PROWL,CAR PROWL,2016-03-26 17:47:00,U,4200.4006,-122.29026,47.674885,4
16000104932,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 17:42:00,U,5301.2006,-122.31742,47.663116,1
16000104898,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:52:00,M,8100.1015,-122.34087,47.606407,2
16000104893,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 17:45:00,K,8100.1036,-122.33404,47.601723,3
16000105036,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 17:56:00,F,11200.2066,-122.33491,47.534718,2
16000105030,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 18:02:00,M,7200.1061,-122.33794,47.61417,1
16000105026,341,"HARBOR - DEBRIS, NAVIGATIONAL HAZARDS",HARBOR CALLS,HARBOR CALLS,2016-03-26 17:44:00,B,5400.2012,-122.3325,47.648296,3
16000105021,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 18:01:00,H,401.1006,-122.34777,47.731678,1
